id,name,address,latitude,longitude,review_count,rating,zip_code
n20BmzZ-KGd0RCKcPGRv1A,Klom Klorm,181 Wyckoff Ave,40.70318,-73.91701,447,4.5,11237
yzbIUIeDuSH58WgK32J7Fw,Thonglor Thai Formerly Red Basil Thai,3247 Steinway St,40.7574712,-73.9200032,49,4.0,11103
h0pRCiJDrCN7tm3VX5tILQ,CHILI,13 E 37th St,40.75002,-73.98215,582,4.5,10016
a5H9p1B6m6WPVjakPylvdA,Spicy Shallot,7701 Woodside Ave,40.7437053273707,-73.8878916857991,726,4.0,11373
W9t_RWcisBoXMS0iAl7frQ,Thai Shack,445 Cedar Ln,40.889147,-74.0215578,60,4.5,07666
PHu2RLIMZix9W4Uc-FS1fg,Eatzy Thai,33-09 Broadway,40.761214,-73.92328,67,3.5,11106
RdGWCbcxA79G1ZMPVL3SGQ,Nora Thai,176 N 9th St,40.71864,-73.95625,130,3.5,11211
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,246 W 48th St,40.760706,-73.986627,665,4.5,10036
s-UAKra4P0sFE9ylXlwwfA,Le Viet Cafe,1750 2nd Ave,40.78116,-73.94913,152,4.0,10128
s5JNxy0eAFgxS2Poi73ODw,Mala Project,41 W 46th St,40.756899,-73.980586,499,4.0,10036
9WgsvzaiXNAmmQGD0uQxFQ,Thai Holic,372 Myrtle Ave,40.693005,-73.971286,538,4.5,11205
m2Zsy2UAkcDf0cRzk2Yoqw,Madame Vo,212 E 10th St,40.72925,-73.98612,1035,4.0,10003
AEHojbCPCrIhTko7olaqTg,Lil Chef Mama,27 Cliff St,40.708453,-74.005321,115,4.5,10038
e1jwvzY8hU642HSBZZATcw,Hub Thai,50 Avenue A,40.7238123,-73.9847935,163,4.0,10009
0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,11 Mott St,40.7140555,-73.9988387116394,1157,4.0,10013
TU_BU9HLflYI2xlyqVQdRA,TAO Uptown,42 E 58th St,40.76266943713004,-73.97144107883544,2861,3.5,10022
Xst2vGND8hy44VOmbLG3kQ,Pa De Thai Restaurant,264 Old River Rd,40.80957,-73.990735,314,3.5,07020
jiQMBtFQ0nY1hv3vRPM66w,The Nuaa Table,638 Bergen St,40.679366,-73.968485,71,4.5,11238
tx-gxkns4uFyve7Eu5mYKA,Tana Thai,1890 Eastchester Rd,40.8513635,-73.8439993,216,3.0,10461
qtDKasElRD_CPw7HnIOXHA,Island Thai Street Food,,40.758373260498,-73.9680099487305,1,4.0,10022
Z7uV9jqrj9GkSws1cz06cg,Grub Thai,34 Lexington Ave,40.740072,-73.98461,5,4.0,10010
MD-GiizNpmFbuDIdKGzXnA,Mekong,917 Columbus Ave,40.7984,-73.96326,79,4.0,10025
414qtc1lNAI-HaJ-Gw9puA,Galanga,149 W 4th St,40.7316,-74.00049,529,3.5,10012
9FjGW7u1iTyFUDpJt-Ql9Q,Tue Thai Restaurant,3 Greenwich Ave,40.73387,-73.9997999,387,3.5,10014
DguAGioaK6ZIAt_6kk93tA,Thai Select,472 9th Ave,40.754764,-73.994903,635,3.5,10018
f_OiLWqldSmNy1MAvtWlPQ,Cyclo,5-51 47th Ave,40.745714,-73.953549,641,4.0,11101
wFjW3d0PDr2Lb_54RmnB6Q,TLK by Tigerlily Kitchen,58 3rd Ave,40.73116944194413,-73.98908630204441,59,4.5,10003
_7Maf5WG682E7R-EHSz18w,Bangklyn East Harlem,2051 2nd Ave,40.7903,-73.94307,149,4.5,10029
6wJOojpF2c4lLeBNbTBB0A,Baoburg,614 Manhattan Ave,40.7234929271998,-73.9503321851175,299,4.0,11222
m2_ZNFos5ugAwe8ft8eaEw,Eim Khao Mun Kai Elmhurst,81-32 Broadway,40.7429414097644,-73.8832733356575,523,4.0,11373
HvN9eVtlm9MnOQCL_GlRSg,Pho Saigon,987 1st Ave,40.7565899362516,-73.9644254744053,223,3.5,10022
MxMWPaC30sRkPKit_Omz2A,Khun Noo Thai Noodle House,51-20 Skillman Ave,40.74568,-73.91261,74,4.0,11377
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,40.76015,-73.9893699,1633,4.0,10036
xFp3xSQ43J-i7nmJfNBsZA,Norikoh,43 W 24th St,40.7433,-73.99137,631,4.0,10010
HXzO3am7-feBYeAVwsInQQ,Teo Thai Kitchen,109 Eldridge St,40.71816029228648,-73.99208005517721,1,5.0,10002
zJ6-ZCrtJA943nsVl2l8gQ,Thai Cuisine,1509 White Plains Rd,40.83811,-73.8638,77,3.0,10462
No1PU4NbOdoaG1lSikfeNg,7 Elephants,221 East Broadway,40.714099,-73.986987,58,4.5,10002
LDScBEu3splSQlhGBEH2hg,Bao by Kaya,570 Lexington Ave,40.7569200941962,-73.9723208919168,213,4.0,10022
Nvhx093-K2xwHIZVnFstJw,Copper Throat Thai Cuisine,123 Ludlow St,40.71978,-73.98877,140,4.0,10002
pcVlzw0Id0MvP8MJYMRgJg,River Thai,1766 Amsterdam Ave,40.82685,-73.94666,127,4.5,10031
Wbmqg0TkOVkzNh3HrJ9DIQ,Vietnaam,1700 2nd Ave,40.7791481018066,-73.9504165649414,886,4.0,10128
FXFQJmhK6elesopXdhjvFQ,Amber,103 W 70th St,40.77632084040014,-73.97993601948492,153,4.0,10023
uazg6WhYVOw3jhWCG_MDBg,Sup Thai Kitchen ,178-19 Union Tpke,40.72671,-73.7893,553,4.5,11366
ldE6TJ4lo1OIg0eCig3ICg,BONMi,150 W 62nd St,40.77156664331664,-73.9852986,181,3.0,10023
